Year,div,pos,rank
1894-95,2,4,20
1895-96,2,8,24
1896-97,2,9,25
1897-98,2,7,23
1898-99,2,3,21
1899-00,2,5,23
1900-01,2,11,29
1901-02,2,14,32
1902-03,2,15,33
1903-04,2,18,36
1904-05,2,14,32
1905-06,2,7,27
1906-07,2,3,23
1907-08,2,2,22
1908-09,1,20,20
1909-10,2,5,25
1910-11,2,15,35
1911-12,2,10,30
1912-13,2,15,35
1913-14,2,18,38
1914-15,2,19,39
1919-20,2,14,36
1920-21,2,12,34
1921-22,2,9,31
1922-23,2,3,25
1923-24,2,12,34
1924-25,2,1,23
1925-26,1,17,17
1926-27,1,7,7
1927-28,1,3,3
1928-29,1,2,2
1929-30,1,8,8
1930-31,1,16,16
1931-32,1,19,19
1932-33,1,19,19
1933-34,1,17,17
1934-35,1,21,21
1935-36,2,6,28
1936-37,2,1,23
1937-38,1,16,16
1938-39,1,22,22
1946-47,2,9,31
1947-48,2,9,31
1948-49,2,19,41
1949-50,2,15,37
1950-51,2,14,36
1951-52,2,5,27
1952-53,2,5,27
1953-54,2,1,23
1954-55,1,21,21
1955-56,2,5,27
1956-57,2,1,23
1957-58,1,18,18
1958-59,1,19,19
1959-60,1,12,12
1960-61,1,6,6
1961-62,1,14,14
1962-63,1,4,4
1963-64,1,11,11
1964-65,1,18,18
1965-66,1,7,7
1966-67,1,8,8
1967-68,1,13,13
1968-69,1,21,21
1969-70,2,3,25
1970-71,2,1,23
1971-72,1,12,12
1972-73,1,16,16
1973-74,1,9,9
1974-75,1,18,18
1975-76,1,7,7
1976-77,1,11,11
1977-78,1,22,22
1978-79,2,17,39
1979-80,2,1,23
1980-81,1,21,21
1981-82,2,8,30
1982-83,2,3,25
1983-84,1,15,15
1984-85,1,15,15
1985-86,1,19,19
1986-87,1,20,20
1987-88,2,13,35
1988-89,2,15,37
1989-90,2,13,35
1990-91,2,22,44
1991-92,2,4,26
1992-93,2,6,28
1993-94,2,4,26
1994-95,1,21,21
1995-96,2,5,25
1996-97,1,9,9
1997-98,1,10,10
1998-99,1,10,10
1999-00,1,8,8
2000-01,1,13,13
2001-02,1,20,20
2002-03,2,2,22
2003-04,1,18,18
2004-05,2,15,35
2005-06,2,16,36
2006-07,2,19,39
2007-08,2,22,42
2008-09,3,1,45
2009-10,2,5,25
2010-11,2,10,30
2011-12,2,9,29
2012-13,2,6,26
2013-14,2,1,21
2014-15,1,14,14
2015-16,1,1,1
2016-17,1,12,12
